string	occurrences	volumes	authors	ignore	alias	comment
Biddy	5	5	5	1		
Bienville	13	4	3	0		
bilin	13	9	7	0		
Billickin	27	2	2	1		Personal name
Billingsgate	19	18	17	0		
Binghamton	5	3	3	0		
Birmingham	33	21	17	0		
Black	6	5	4	1		
Black Forest	7	5	5	0		
Black Hills	7	4	3	0		
Black River	11	6	6	0		
Black Sea	24	14	13	0		
Bladen	23	3	2	0		
Bladensburg	7	5	5	0		
Blanche	8	6	5	1		
Blithedale	24	2	2	1		Fictional
blitzen	13	9	8	0		
Bloomfield	16	7	6	0		
Blue Mountains	12	7	7	0		
Blue Ridge	72	23	15	0		
Boadicea	15	3	3	1		
Bob	8	5	5	1		
Bohea	5	4	4	0		
Bohemia	61	27	23	0	Czech Republic	Czech Republic
Bolivia	5	4	4	0		
Bombay	57	19	14	0		
Bon Homme Richard	6	2	2	1		
Bonita	64	4	4	1		
Bonn	20	7	6	0		
Book Life	6	6	5	1		
Boonsboro	17	4	2	0		
Bordeaux	42	30	25	0		
Border States	9	6	5	1		
Borghese	10	6	4	0		
Borneo	24	9	7	0		
Bornhofen	6	2	2	0		
Bosphorus	34	13	12	0		
Bostin	13	8	5	0	Boston, MA	
Bosting	9	8	8	0		
Boston	4047	465	245	0	Boston, MA	
Boston Bay	8	5	5	0		
Boston Boston	14	14	12	0	Boston, MA	
Boston Esq.	11	7	7	1		
Boston Harbor	18	12	12	0		
Boston Mass.	8	6	5	0	Boston, MA	
Boston Massachusetts	7	7	7	1		
Boston New York	7	7	7	1		
Boston Washington	7	4	4	1		
Botany Bay	25	14	12	0		
Boulevard	6	4	4	1		
Boulogne	30	17	16	0		
Bounty	5	4	4	1		
Bowie	5	5	4	1		
Boyne	11	4	4	0		
Boynton	22	6	6	1		
Braddock	5	2	2	0		
Bradford	14	2	2	1		Name
Brahma	11	7	7	1		
Brahmin	9	3	3	1		
Brainerd	19	3	3	0		
Brantford	9	2	2	0		
Brattleboro	9	4	4	0		
Brazil	87	43	36	0		
Brazos	40	10	8	0		
Breckenridge	10	5	4	1		
Bremen	30	12	11	0		
Brennus	5	2	2	1		
Brenta	10	3	3	0		
Brentford	12	3	3	0		
Breslau	6	4	3	0		
Brest	27	13	9	0		
Bretagne	11	5	5	0		
Briartown	9	2	2	0		
Bridgeport	15	5	5	0		
BRIDGEWATER	8	6	6	0		
BRIERLY	5	2	2	1		
brigantine	6	6	6	0		
Brigham	5	3	3	0		
Brighton	179	27	24	0		
Brindisi	5	4	4	0		
Brindle	5	4	4	0		
Bristol	242	41	35	0		
Britain	101	72	60	0		
Britannia	9	7	7	0	Britain	
British	7	6	5	1		
British America	8	7	7	0	United States	
Brittany	14	9	8	0		
Bro	123	7	5	1		Ha!
Bro Bro	15	2	2	1		
Broadway	8	8	6	0		
Brompton	37	7	6	0		
Bronx	18	3	2	0		
BROOK	12	6	4	1		
Brookdale	6	2	2	0		
Brookfield	9	2	2	0		
Brookline	9	6	4	0		
Brooklyn	258	94	71	0		
Brooklyn Heights	13	9	7	0		
Brookville	16	7	7	0		
Broome Street	9	4	4	0		
Brotherly Love	6	6	6	0	Philadelphia, PA	
Brownstown	15	2	2	0		
Bruin	7	3	3	1		
Brunswick	27	11	9	0		
Brussels	192	110	68	0		
Brutus	17	13	10	1		
Buckeye	7	7	6	1		
Buckinghamshire	11	5	5	0		
Buckstone	11	2	2	1		Personal name
Buddha	7	6	6	1		
Buena Vista	35	17	14	0		
Buffalo	225	67	55	0		
Bunker Hill	9	9	9	0	Bunker Hill, MA	
Burgundy	60	21	19	0		
Burley	24	2	2	1		
Burlington	29	14	14	0		
Burlington Bay	5	3	3	0		
Burmah	7	3	3	0		
Burnham	70	3	3	1		
Bush Creek	5	2	2	0		
BYRON	6	5	5	1		
Cabin	5	5	5	1		
Cadiz	53	24	22	0		
Caesar	45	35	29	1		
Caesarea	14	5	5	1		
Cain	8	8	8	1		
Cairo	152	52	41	0		
Cal	12	7	6	1	California, USA	Cal. = California
Calabar	10	2	2	0		
Calabria	21	4	4	0		
Calais	60	32	26	0		
Calaveras	26	8	5	0		
Calaveras County	23	11	8	0		
Calcutta	322	86	61	0		
Caleb	22	5	5	1		
Caledonia	12	9	9	0	Scotland	Scotland
Calhoun	6	2	2	1		
Caliban	7	7	7	1		
California	1428	239	155	0	California, USA	
Californian	6	6	6	1		
Californy	16	12	11	0	California, USA	
Callao	25	10	9	0		
Calvary	9	9	8	0	Jerusalem, Israel	Jerusalem
Cambria	10	6	6	0		
CAMBRIDGE	367	116	84	0		
Cambridge Platform	5	2	2	1		
Camden	66	27	22	0		
Cameron	13	8	8	1		
Camilla	10	6	6	1		
Camille	5	3	3	1		
Campagna	9	8	6	0		
Campania	6	3	3	0		
Cana	14	13	9	0		
Canaan	112	57	46	0	Israel	Israel
Canada	810	207	135	0		
Canady	5	2	2	0	Canada	
Canajoharie	27	2	2	0		
Cannibal Islands	14	12	11	0		
Canterbury	9	6	6	0		
Canton	158	49	41	0		
Cape	219	82	56	1		Ambiguous
Cape Clear	5	5	5	0		
CAPE COD	68	31	27	0		
Cape Eternity	5	2	2	1		
Cape Fear	40	6	6	0		
Cape Hatteras	6	4	3	0		
Cape Henry	6	4	3	0		
Cape Hope	27	15	14	0	Cape of Good Hope, South Africa	Cape of Good Hope, ZA
Cape Horn	56	33	29	0	Cape Horn, Chile	Cape Horn, Chile
Cape Palmas	13	5	3	0		
Cape Sable	5	3	3	0		
Cape Town	46	8	8	0		
Cape Verde Islands	13	2	2	0		
Cape Verds	5	3	3	0	Cape Verde Islands	
Capernaum	15	3	3	0		
Capitol	8	8	4	1		
Capitol Hill	11	6	5	0	Washington, DC	Washington DC
Capitoline	5	2	2	0		
Capitoline Hill	6	2	2	0		
Captain Gray	5	2	2	1		
captivity	44	36	33	1		
Cara	5	2	2	1		
Caraccas	10	2	2	0		
Caravajal	6	2	2	0		
Caribbean	6	4	4	0		
Caribbean Sea	7	7	6	0		
Carlisle	18	12	12	0		
Carlo	25	10	10	1		
Carlotta	103	5	5	1		
Carlotta Carlotta	5	2	2	1		
Carlton	13	7	7	1		
Carlyle	23	15	14	1		
Carmel	8	7	7	0		
Carolina	203	53	41	0	North Carolina	NC
Carolinas	17	15	12	0	North Carolina	NC, alas
Carolinian	32	19	16	1		
Carolinians	15	6	4	1		
CARRICKFERGUS	7	3	3	0		
CARRIE	5	4	4	1		
Carrollton	9	5	5	0		
Carrolton	49	5	5	0		
Carson	6	2	2	1		
Carson City	10	4	2	0		
Carteret	63	2	2	0		
Carthage	51	33	28	0	Tunis	Tunis, Tunisia
Casa	12	2	2	1		
CASTILE	63	22	19	0	Castile, Spain	Castile, Spain
Castine	54	3	3	0		
Castle	5	3	3	1		
CASTLEREAGH	49	2	2	0		
Catacombs	5	4	4	1		
CATALINA	19	2	2	0		
Catalonia	8	3	3	0		
